train_loss_step,epoch,step,val_loss,train_loss_epoch
73.30311584472656,0,0,,
70.11953735351562,0,1,,
69.11881256103516,0,2,,
66.4368896484375,0,3,,
60.83742141723633,0,4,,
61.61339569091797,0,5,,
61.708072662353516,0,6,,
58.74061584472656,0,7,,
56.37213897705078,0,8,,
59.03435134887695,0,9,,
57.55763244628906,0,10,,
55.84440612792969,0,11,,
55.710201263427734,0,12,,
54.55917739868164,0,13,,
55.520103454589844,0,14,,
55.48212432861328,0,15,,
54.958961486816406,0,16,,
53.738067626953125,0,17,,
55.145751953125,0,18,,
55.61221694946289,0,19,,
54.30539321899414,0,20,,
53.43278884887695,0,21,,
53.00509262084961,0,22,,
54.993080139160156,0,23,,
52.37932586669922,0,24,,
52.567684173583984,0,25,,
52.31357192993164,0,26,,
51.92424774169922,0,27,,
52.129676818847656,0,28,,
51.65960693359375,0,29,,
50.49150085449219,0,30,,
49.813053131103516,0,31,,
50.591819763183594,0,32,,
50.71535873413086,0,33,,
50.09684753417969,0,34,,
47.66724395751953,0,35,,
46.91264343261719,0,36,,
46.65463638305664,0,37,,
44.29966735839844,0,38,,
42.81734085083008,0,39,,
36.91740417480469,0,40,,
37.85597229003906,0,41,,
30.63938331604004,0,42,,
35.8826904296875,0,43,,
35.20132064819336,0,44,,
32.61607360839844,0,45,,
28.49247932434082,0,46,,
34.60320281982422,0,47,,
27.364471435546875,0,48,,
32.20196533203125,0,49,,
33.11958312988281,0,50,,
32.058345794677734,0,51,,
25.449506759643555,0,52,,
29.886842727661133,0,53,,
33.5547981262207,0,54,,
25.596492767333984,0,55,,
27.84454917907715,0,56,,
28.782344818115234,0,57,,
27.680511474609375,0,58,,
24.38654327392578,0,59,,
26.00394630432129,0,60,,
25.58213233947754,0,61,,
24.09906578063965,0,62,,
,0,62,23.368389129638672,
,0,62,,46.14325714111328
24.57670021057129,1,63,,
25.04378890991211,1,64,,
25.006532669067383,1,65,,
23.303611755371094,1,66,,
23.24982452392578,1,67,,
22.792526245117188,1,68,,
23.92302703857422,1,69,,
25.01243019104004,1,70,,
25.52919578552246,1,71,,
20.140092849731445,1,72,,
19.555652618408203,1,73,,
21.236825942993164,1,74,,
18.481521606445312,1,75,,
20.351015090942383,1,76,,
19.7858943939209,1,77,,
20.86186981201172,1,78,,
18.901142120361328,1,79,,
17.709062576293945,1,80,,
19.0351505279541,1,81,,
19.961896896362305,1,82,,
19.457904815673828,1,83,,
19.202754974365234,1,84,,
19.12071418762207,1,85,,
18.71422576904297,1,86,,
17.567466735839844,1,87,,
18.228832244873047,1,88,,
18.006072998046875,1,89,,
21.355422973632812,1,90,,
18.426721572875977,1,91,,
17.728986740112305,1,92,,
19.016054153442383,1,93,,
18.029624938964844,1,94,,
16.390830993652344,1,95,,
18.492433547973633,1,96,,
18.50178337097168,1,97,,
17.597667694091797,1,98,,
18.652605056762695,1,99,,
17.364097595214844,1,100,,
19.260753631591797,1,101,,
20.04104995727539,1,102,,
19.196582794189453,1,103,,
17.384061813354492,1,104,,
20.23893165588379,1,105,,
17.78493881225586,1,106,,
17.42573356628418,1,107,,
19.959041595458984,1,108,,
19.20347023010254,1,109,,
15.832507133483887,1,110,,
17.5062313079834,1,111,,
18.22281265258789,1,112,,
17.82927894592285,1,113,,
18.12294578552246,1,114,,
18.16066551208496,1,115,,
17.308149337768555,1,116,,
18.19068145751953,1,117,,
19.03152847290039,1,118,,
16.964750289916992,1,119,,
19.18012809753418,1,120,,
18.77076530456543,1,121,,
17.923524856567383,1,122,,
17.717771530151367,1,123,,
15.928282737731934,1,124,,
16.234628677368164,1,125,,
,1,125,16.172760009765625,
,1,125,,19.385820388793945
16.26230239868164,2,126,,
17.03636932373047,2,127,,
16.091169357299805,2,128,,
16.030948638916016,2,129,,
15.28546142578125,2,130,,
17.07131004333496,2,131,,
15.478259086608887,2,132,,
15.612208366394043,2,133,,
17.26461410522461,2,134,,
14.22684383392334,2,135,,
15.254233360290527,2,136,,
14.377325057983398,2,137,,
17.455982208251953,2,138,,
13.912960052490234,2,139,,
16.194643020629883,2,140,,
13.621794700622559,2,141,,
15.657341957092285,2,142,,
15.607707023620605,2,143,,
13.476383209228516,2,144,,
14.822732925415039,2,145,,
14.612367630004883,2,146,,
13.631420135498047,2,147,,
14.728585243225098,2,148,,
15.053729057312012,2,149,,
12.607903480529785,2,150,,
15.126401901245117,2,151,,
12.320189476013184,2,152,,
13.913947105407715,2,153,,
13.924324035644531,2,154,,
13.48940372467041,2,155,,
12.45267105102539,2,156,,
13.81796646118164,2,157,,
12.531159400939941,2,158,,
14.20812702178955,2,159,,
13.515217781066895,2,160,,
14.438188552856445,2,161,,
13.5935697555542,2,162,,
15.414556503295898,2,163,,
13.153566360473633,2,164,,
13.449665069580078,2,165,,
14.001715660095215,2,166,,
13.196492195129395,2,167,,
11.88573169708252,2,168,,
13.711161613464355,2,169,,
10.766975402832031,2,170,,
11.509916305541992,2,171,,
11.846670150756836,2,172,,
11.218088150024414,2,173,,
11.010222434997559,2,174,,
12.748520851135254,2,175,,
11.164408683776855,2,176,,
13.557666778564453,2,177,,
12.551591873168945,2,178,,
11.7612886428833,2,179,,
12.223938941955566,2,180,,
12.432621002197266,2,181,,
10.601661682128906,2,182,,
12.626341819763184,2,183,,
12.788729667663574,2,184,,
11.307029724121094,2,185,,
11.06952953338623,2,186,,
11.332565307617188,2,187,,
11.129986763000488,2,188,,
,2,188,10.942109107971191,
,2,188,,13.721624374389648
10.454428672790527,3,189,,
11.101632118225098,3,190,,
10.045605659484863,3,191,,
12.324226379394531,3,192,,
12.629939079284668,3,193,,
10.829217910766602,3,194,,
12.20980453491211,3,195,,
9.382366180419922,3,196,,
9.951586723327637,3,197,,
10.547001838684082,3,198,,
10.15742015838623,3,199,,
11.345754623413086,3,200,,
10.184985160827637,3,201,,
10.795218467712402,3,202,,
9.447660446166992,3,203,,
9.721808433532715,3,204,,
9.270075798034668,3,205,,
10.185582160949707,3,206,,
9.540520668029785,3,207,,
8.804728507995605,3,208,,
9.590593338012695,3,209,,
9.588921546936035,3,210,,
10.500115394592285,3,211,,
9.713438034057617,3,212,,
9.860062599182129,3,213,,
9.816818237304688,3,214,,
10.362757682800293,3,215,,
8.36940860748291,3,216,,
9.090271949768066,3,217,,
8.984882354736328,3,218,,
8.592009544372559,3,219,,
8.011869430541992,3,220,,
10.040078163146973,3,221,,
8.33886432647705,3,222,,
9.056356430053711,3,223,,
8.219870567321777,3,224,,
9.925003051757812,3,225,,
8.527854919433594,3,226,,
8.389899253845215,3,227,,
8.866915702819824,3,228,,
9.946029663085938,3,229,,
8.781946182250977,3,230,,
8.43613052368164,3,231,,
9.175660133361816,3,232,,
8.951778411865234,3,233,,
9.957847595214844,3,234,,
